Article Name,Link,Dates
Overview of Flint’s Water Crisis,/video/us/100000004156616/flints-water-crisis.html?searchResultPosition=1,"Jan. 20, 2016"
Obama on Flint Water Crisis,/video/us/100000004157088/obama-on-flint-water-crisis.html?searchResultPosition=2,"Jan. 20, 2016"
Events That Led to Flint’s Water Crisis,/interactive/2016/01/21/us/flint-lead-water-timeline.html?searchResultPosition=3,"Jan. 21, 2016"
Governor Snyder on Flint Water Crisis,/video/us/100000004155708/mich-gov-apologizes-for-flint-scandal.html?searchResultPosition=4,"Jan. 20, 2016"
Senate Approves Funding for Flint Water Crisis,/2016/09/16/us/politics/flint-michigan-water-senate-aid.html?searchResultPosition=5,"Sept. 15, 2016"
Flint’s Water Crisis and the ‘Troublemaker’ Scientist,/2016/08/21/magazine/flints-water-crisis-and-the-troublemaker-scientist.html?searchResultPosition=6,"Aug. 16, 2016"
A Potent Side Effect to the Flint Water Crisis: Mental Health Problems,/2016/05/01/us/flint-michigan-water-crisis-mental-health.html?searchResultPosition=7,"April 30, 2016"
Why It Won’t Be Easy or Cheap to Fix Flint’s Water Crisis,/2016/02/12/us/why-it-wont-be-easy-or-cheap-to-fix-flints-water-crisis.html?searchResultPosition=8,"Feb. 11, 2016"
Flint Water Crisis: 6 More Charged,/video/us/100000004559431/flint-water-crisis-6-more-charged.html?searchResultPosition=9,"July 29, 2016"
6 More State Workers Charged in Flint Water Crisis,/2016/07/30/us/flint-michigan-water-crisis.html?searchResultPosition=10,"July 29, 2016"
